#ifndef INCLUDE_HASH_VALUE
#define INCLUDE_HASH_VALUE
#include <cstdint>
namespace orliv {
using hash_type = std::uint64_t;
const hash_type hash_v[32][32][2] = {
{{15552101120602390359ULL,18013222804457056695ULL,},
{11792686481267623778ULL,7806389557021028748ULL,},
{6662974741331405325ULL,9464931848141914409ULL,},
{8306696814360191367ULL,2424979915091912907ULL,},
{16384015850099490770ULL,6423509445531371423ULL,},
{3676568063302053923ULL,6084236414362528247ULL,},
{8299154152385937068ULL,16529018289062320506ULL,},
{17398185844251417913ULL,10789999200259940512ULL,},
{14591463426649966880ULL,159619562569064385ULL,},
{7548832548183550923ULL,5126826805640201843ULL,},
{16911989902743282841ULL,9547239109221367962ULL,},
{7767019984666429819ULL,17183384336800481500ULL,},
{14319496970936145615ULL,17931282800515056431ULL,},
{8292313313128037736ULL,17837022074887758365ULL,},
{17028768371755794972ULL,16238500371479184605ULL,},
{9881837875306097542ULL,10372062143169925863ULL,},
{10412057872922396308ULL,3428493582342388291ULL,},
{17102256859611116161ULL,5160052399015985794ULL,},
{17130814414150937634ULL,6101234540207090294ULL,},
{11754141595250859739ULL,3810179678888538367ULL,},
{10900695980493936524ULL,3070549190341667076ULL,},
{5276423764400200393ULL,11064293869183698525ULL,},
{8514113450699983218ULL,1774483917010392063ULL,},
{16614572679987074841ULL,16205261994522405032ULL,},
{15700730344280017103ULL,11485705446273072201ULL,},
{14374361231020501702ULL,9979315587355862545ULL,},
{12063287707640375027ULL,1583738861488447104ULL,},
{5286865264411846681ULL,3639623625037429496ULL,},
{16953805326829581392ULL,3881994932409540891ULL,},
{8860641638952263487ULL,15487617001106995334ULL,},
{5130638983977586829ULL,5168756974555676486ULL,},
{15566930696070629823ULL,17648333775984785250ULL,},
},
{{12799505301997812314ULL,8391158946122950316ULL,},
{14804994645011855638ULL,14935966159906942136ULL,},
{85376961474957507ULL,6269945504496647033ULL,},
{12425956267259063428ULL,5372104761961053519ULL,},
{7455458470786286449ULL,7904102199572501232ULL,},
{3257399174050082451ULL,14948779682371902433ULL,},
{15631034455296979168ULL,12966218868677793842ULL,},
{7965709837407714813ULL,12918323407915681709ULL,},
{17184825963649321777ULL,17691097985877273062ULL,},
{11350695778570745479ULL,14713992380533219793ULL,},
{6503184329420404428ULL,13123783808781312434ULL,},
{48026739843254754ULL,7606895242054114470ULL,},
{18275552991465613679ULL,4903818090559143314ULL,},
{8956679010128650097ULL,17302166391340728126ULL,},
{10673060970907302941ULL,655633797926564942ULL,},
{3019921032992322793ULL,7018636168885457217ULL,},
{6739485620381346598ULL,14529148129196430676ULL,},
{3654069793000128844ULL,13166011364091034913ULL,},
{15232440547948383833ULL,6604369179566678529ULL,},
{3698460213874932418ULL,2838133201553444868ULL,},
{11158101686085960768ULL,15707477465432016724ULL,},
{14648791432903465009ULL,7788777156318492493ULL,},
{1819463357193761559ULL,10811033425692535180ULL,},
{13072228519763390493ULL,16169046489747611137ULL,},
{10984956469459674385ULL,11375824860660864387ULL,},
{8159177557190490020ULL,7135207610430002691ULL,},
{6302380417072099444ULL,15351993389315548163ULL,},
{15503509907654946932ULL,8632519302769312301ULL,},
{16567176285837982569ULL,16549020552341757393ULL,},
{18359036279197993356ULL,16401953104754182548ULL,},
{14707000820793403658ULL,16096870546832369253ULL,},
{23214535134046389ULL,4509238076231537728ULL,},
},
{{9469236241293862413ULL,14413369007373625321ULL,},
{15444954831297478285ULL,10373470157217346989ULL,},
{2345541690789867356ULL,8559304058777694399ULL,},
{16790404121721370059ULL,6596317541006172215ULL,},
{2099329642756154319ULL,2299901458128353672ULL,},
{12460103828495301886ULL,9170357387027488217ULL,},
{1482688769270795044ULL,2490589540439568270ULL,},
{15812192584142425193ULL,3308869660348066413ULL,},
{9902542785333333762ULL,7477495912904065746ULL,},
{3012277262970958050ULL,10270189907543787877ULL,},
{8483380925868392158ULL,11528366143094393073ULL,},
{10972964515474837434ULL,12684740667120694629ULL,},
{9912694091050395767ULL,11319758712372195796ULL,},
{15102400879907337737ULL,18402327715497744662ULL,},
{7120870559019284000ULL,12452365390025563021ULL,},
{10127161795566461552ULL,18327174657038756019ULL,},
{912892837849851216ULL,8125375944760245173ULL,},
{1584476556238008890ULL,167025433927958598ULL,},
{3487452342892702946ULL,7748505714457055681ULL,},
{42713383648658035ULL,2584163594698392851ULL,},
{1540032864221995718ULL,2104598835461219081ULL,},
{17192349431989338500ULL,16101417541245786204ULL,},
{16479374889865298043ULL,2033057210986246421ULL,},
{10078859596083190686ULL,11101700684159842727ULL,},
{1556483529166895666ULL,8430985926343935416ULL,},
{2870618232023234428ULL,8916536815319921839ULL,},
{16584956829237593900ULL,7235511493289873664ULL,},
{3443443536216851384ULL,4773035461381127407ULL,},
{10018124318952362498ULL,5312232517035599962ULL,},
{3076702449622536730ULL,3423670010553200587ULL,},
{11692262944880764505ULL,3479447069968626214ULL,},
{8265288243122839316ULL,11020678198183723246ULL,},
},
{{15031972993351899298ULL,14767109841914843793ULL,},
{703352942341319820ULL,9481934000016195986ULL,},
{16960605940278169077ULL,2583645407116041825ULL,},
{3433011822069696520ULL,5439503245480823365ULL,},
{7769416949224951278ULL,3406932684867300724ULL,},
{10580450296541562086ULL,17589721852230222590ULL,},
{6902078994956234864ULL,1058949841940641201ULL,},
{15565111085494511182ULL,13452790038588429908ULL,},
{581175189835067874ULL,17810758169419020995ULL,},
{1475988161843561282ULL,17810611793862631190ULL,},
{17409337294095955114ULL,13744183974570374691ULL,},
{9846620659320252624ULL,11872787782538924025ULL,},
{3448170719899167884ULL,15600177912424554384ULL,},
{6443691432708668781ULL,17538176831086019865ULL,},
{12574967392514524913ULL,14419170534115977428ULL,},
{9764658272732904934ULL,12801159545087326222ULL,},
{11407641687400167092ULL,12700022289031779133ULL,},
{4670825298564881770ULL,17116389076236763054ULL,},
{16422024936707032960ULL,13558782134784234818ULL,},
{8008193454087950093ULL,14453573631417095037ULL,},
{12088406537832594565ULL,14985169371947217892ULL,},
{7661166454600389038ULL,16210744439838445712ULL,},
{11771612217137804991ULL,18400469628886122897ULL,},
{10310853687464751653ULL,5622213346636312573ULL,},
{3239391099319480979ULL,9139558951751228995ULL,},
{14195427009552774360ULL,54667976325614845ULL,},
{16671169312665128944ULL,4274739526994277236ULL,},
{3957328893087483203ULL,16383998789482046281ULL,},
{15478651367609201186ULL,11688645260284969791ULL,},
{14496340063039282097ULL,16089597611050688944ULL,},
{10395269382497127481ULL,13171339310333380186ULL,},
{12810760822914016852ULL,7417409369930939185ULL,},
},
{{13558491133172872522ULL,2693434446503173278ULL,},
{17616461797336168074ULL,2758325691943793109ULL,},
{17348614135621727243ULL,15969079833100369293ULL,},
{7247397787620704106ULL,7684604110779612568ULL,},
{9450556243407431178ULL,2324424991135101003ULL,},
{1798974404616680591ULL,3566738431213622853ULL,},
{3435180625745176237ULL,4582939436345850656ULL,},
{140265613971066493ULL,1679367379908930381ULL,},
{17359216099156063700ULL,4098507844201788672ULL,},
{5337304115450954309ULL,9156759472295775901ULL,},
{10769561016351113604ULL,3709857536293131639ULL,},
{14505197363666049939ULL,13674253185362711685ULL,},
{8667165986247189781ULL,17860554746235902048ULL,},
{4655831040016506380ULL,14426391315440860550ULL,},
{16043971373074919237ULL,6866862196919524536ULL,},
{13548870081078635542ULL,12585510791428100874ULL,},
{17675775559764804253ULL,2535507642530683673ULL,},
{3887752334123639692ULL,4677070560588560155ULL,},
{3258924743404349689ULL,13579789183137763660ULL,},
{4186975769698852677ULL,16524443593630963884ULL,},
{730323213359992803ULL,7048951959840515845ULL,},
{3264143232671466081ULL,13895877696510294803ULL,},
{11860573779084350992ULL,9634458694713723248ULL,},
{9306676464925562855ULL,17122813494557087436ULL,},
{10903292379077094343ULL,11930637672609902933ULL,},
{5097180228739294090ULL,9689124850039263186ULL,},
{10457652653514483622ULL,9646491889311985054ULL,},
{5650894201287396143ULL,10951207315911107297ULL,},
{2987719420057625308ULL,4525956306175789897ULL,},
{10508309219367983619ULL,5779597630989938916ULL,},
{4228976574391541525ULL,4574584422026817534ULL,},
{3349150346250522820ULL,1008052630984854540ULL,},
},
{{18272528564001362866ULL,16938212376635979923ULL,},
{6895337838797991461ULL,9590716824527590867ULL,},
{10520563102638407123ULL,1774082933413872359ULL,},
{16677592596613769067ULL,15761443021587448752ULL,},
{700677007661902023ULL,4862636349041640540ULL,},
{9405312290877719523ULL,14168602709624840597ULL,},
{6228664377440178586ULL,16654538955488568215ULL,},
{6524430523524723630ULL,5027917121105878006ULL,},
{5271235800544157971ULL,4912739598878611481ULL,},
{3100329994035228081ULL,14463778087118480724ULL,},
{8498739666375203990ULL,3013423322724772817ULL,},
{2905095424374526955ULL,356495886342281250ULL,},
{6323557303108165831ULL,297755437814799761ULL,},
{16946499306357167293ULL,9756534821278390366ULL,},
{8856669763877697541ULL,12810331477561827009ULL,},
{1982062026082217966ULL,9841727032853067602ULL,},
{17545460993652259977ULL,7331285706823580653ULL,},
{7726625408190182660ULL,593162583610114083ULL,},
{9646853629149999023ULL,7876392120162817147ULL,},
{13709696305690833222ULL,4467572894516109331ULL,},
{14848116391182173182ULL,961404604550336941ULL,},
{12713638990305249755ULL,3488936365230030378ULL,},
{5380697248109850254ULL,8258608028198811736ULL,},
{1341596114944114066ULL,9140284128187912183ULL,},
{4104096203893297696ULL,12654739224936378016ULL,},
{8606304934692478232ULL,17585317361912549628ULL,},
{40024848044639367ULL,5560301401089123172ULL,},
{8982921696494192528ULL,5567211635039565607ULL,},
{2323293690411365986ULL,1220420780968985129ULL,},
{13164173769030712937ULL,9148227401696269372ULL,},
{14894187474741065552ULL,14082732387686544700ULL,},
{9837923865930951997ULL,11778060781052547868ULL,},
},
{{16121422164100254669ULL,7313864073687131206ULL,},
{11265260242947900999ULL,2424815395968199591ULL,},
{7638266238193264051ULL,3959013141317962959ULL,},
{9244447273969538066ULL,2978863121817260148ULL,},
{18219077229049485147ULL,1210245426785298201ULL,},
{9082280869769881570ULL,18425478625868808012ULL,},
{9461157187463593317ULL,4518963889611656582ULL,},
{10331304017789609254ULL,4306250937012638629ULL,},
{7296971399143870080ULL,11894504047267228885ULL,},
{15306907302317138116ULL,7851366198387367411ULL,},
{2595242077322695283ULL,18273817603881526788ULL,},
{12866189434609943023ULL,15255462026358168481ULL,},
{17392691414847923429ULL,15475881625851785654ULL,},
{15184050832877252122ULL,11822896769310973827ULL,},
{9530155652983779421ULL,13207883169041986773ULL,},
{6511117346334644399ULL,17002382829239216147ULL,},
{1378469843462858296ULL,4223125778184614813ULL,},
{7423740672439592825ULL,7067718663596599246ULL,},
{3754181735971558043ULL,12397555174632680986ULL,},
{9206058573607458597ULL,1612315339678990286ULL,},
{5309273813573276584ULL,12315475426436575898ULL,},
{1453108780015502699ULL,16074134789179143145ULL,},
{979943111818429339ULL,5323339295706259931ULL,},
{14768344829444081203ULL,14902051555439370290ULL,},
{16773992981717960513ULL,12499950070101917992ULL,},
{2705829716538929489ULL,10518248882038583991ULL,},
{7343410242034636840ULL,13064522792458521285ULL,},
{9195292275318095140ULL,17445210897851338230ULL,},
{8435955742505332207ULL,6515289339896451187ULL,},
{10507297517351784514ULL,12678715929671128605ULL,},
{10654965619364546230ULL,4619485341656261212ULL,},
{9271529332853561330ULL,2398669580953494391ULL,},
},
{{11761669673357389971ULL,16194565472249775856ULL,},
{2799172798113688978ULL,17771202989446172215ULL,},
